Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
3800gold,published,managed_by_android,false,"en_US;Heap of gold;Heap of gold - 3,800 gold!",false,,4636840026381554234
100gold,published,managed_by_android,false,en_US; Fistful of Gold; Fistful of Gold - 100 gold coins!; nl_NL; Fistful of Gold; Fistful of Gold - 100 gouden munten!; fr_FR; Fidèle à l'or; Fidèle à l'or - 100 pièces d'or!; de_DE; Handvoll Gold; Handvoll Gold - 100 Goldmünzen!; it_IT; Pugno di oro; Pugno di oro - 100 monete d'oro!; pt_PT; Fistful of Gold; Fistful of Gold - 100 moedas de ouro!; es_ES; Fistful of Gold; ¡Fistful of Gold - 100 monedas de oro!; pt_BR; Punhado de ouro; Fistful of Gold - 100 moedas de ouro!; es_419; Puñado de oro; ¡Fistful of Gold - 100 monedas de oro!,false,,4638237991080918605
6000gold,published,managed_by_android,false,"en_US;Mountain of Gold;Mountain of Gold - 6,000 gold!",false,,4634399711617211198
exp4,published,managed_by_android,false,en_US;50 lollipop;50 lollipops with amazing discount!,false,,4636354206325628549
lives074,published,managed_by_android,false,en_US;50x Lives;50x Lives with amazing discount!,false,,4638237991080918605
sweetpack,published,managed_by_android,false,en_US;Newbie Pack;Wonderful pack full of coins and boosters!,false,,4637818886676656314
starterpack,published,managed_by_android,false,en_US;Super pack;Super pack for the good player!,false,,4637491540244814114
25000goldplus,published,managed_by_android,false,"en_US; 25,000 gold and boosters!; Gold treasure - 25,000 gold and bonus boosters!; fr_FR; 25 000 pièces d'or et boosters!; Trésor d'or - 25 000 pièces d'or et bonus boosters!; ru_RU; 25000 золотых монет и бустеры!; Золотое сокровище - 25 000 золотых и бонусных бустеров!; de_DE; 25.000 Gold und Booster!; Goldschatz - 25.000 Gold- und Bonus-Booster!; es_ES; 25,000 de oro y refuerzos!; Tesoro de oro: ¡25,000 refuerzos de oro y bonos!; pt_PT; 25.000 de ouro e boosters!; Tesouro de ouro - 25.000 gold e bonus boosters!; it_IT; 25.000 oro e buste!; Tesoro d'oro - 25.000 oro e bonus booster!; nl_NL; 25.000 goud en boosters!; Gouden schat - 25.000 goud en bonusboosters!; ar; 25000 الذهب والمعززات!; الكنز الذهبي - 25،000 الذهب والمعززات مكافأة!; ja_JP; 25,000ゴールドとブースター！; ゴールドトレジャー -  25,000ゴールドとボーナスブースター！; ko_KR; 25,000 골드와 부스터!; 금 보물 - 25,000 골드 및 보너스 증서!; tr_TR; 25.000 altın ve güçlendiriciler!; Altın hazine - 25.000 altın ve bonus güçlendiriciler!; zh_CN; 25,000金币和助推器！; 黄金宝藏 -  25,000金币和奖励助推器！; pt_BR; 25.000 de ouro e boosters!; Tesouro de ouro - 25.000 gold e bonus boosters!; es_419; 25,000 de oro y refuerzos!; Tesoro de oro: ¡25,000 refuerzos de oro y bonos!",false,,4634828612604949627
addmoves1,published,managed_by_android,false,en_US;Add 5 moves;5 moves and free rainbow cake!,false,,4638237991080918605
unlimitedlives05,published,managed_by_android,false,en_US;3 Days of Unlimited Lives;Unlimited Lives for 3 days with amazing discount!,false,,4638237991080918605
6000goldplus,published,managed_by_android,false,"en_US; 6,000 gold and boosters!; Mountain of gold - 6,000 gold and bonus boosters!; fr_FR; 6000 pièces d'or et boosters!; Montagne d'or - 6 000 pièces d'or et bonus boosters!; ru_RU; 6000 золотых монет и бустеры!; Гора золота - 6000 золотых и бонусные бустеры!; de_DE; 6.000 Gold und Booster!; Berg aus Gold - 6.000 Gold und Bonusbooster!; es_ES; 6,000 de oro y refuerzos!; Montaña de oro: ¡6.000 de oro y refuerzos de bonificación!; pt_PT; 6.000 de ouro e boosters!; Montanha de ouro - 6.000 gold e bonus boosters!; it_IT; 6.000 oro e buste!; Montagna d'oro - 6.000 oro e bonus!; nl_NL; 6.000 goud en boosters!; Berg van goud - 6.000 goud en bonusboosters!; ar; 6000 الذهب والمعززات!; جبل من الذهب - 6000 التعزيز الذهب والمكافأة!; ja_JP; 6,000ゴールドとブースター！; 金の山 -  6,000ゴールドとボーナスブースター！; ko_KR; 6,000 골드와 부스터!; 금의 산 - 6,000 골드와 보너스 부스터!; tr_TR; 6.000 altın ve güçlendiriciler!; Altın dağ - 6.000 altın ve bonus güçlendiriciler!; zh_CN; 6,000金币和助推器！; 金山 -  6000金币和奖励助推器！; pt_BR; 6.000 de ouro e boosters!; Montanha de ouro - 6.000 gold e bonus boosters!; es_419; 6,000 de oro y refuerzos!; Montaña de oro: ¡6.000 de oro y refuerzos de bonificación!",false,,4634399711617211198
honeypack,published,managed_by_android,false,en_US;Master Pack;Ideal combination of coins and multiple boosters!,false,,4636474658719918241
addmoves2,published,managed_by_android,false,en_US;Add 10 moves;10 moves and free rainbow cake!,false,,4636787157003098572
cellpack2,published,managed_by_android,false,en_US;10x Spoon Pack;10x Spoons with amazing discount!,false,,4636787157003098572
addmoves,published,managed_by_android,false,en_US;Add moves;Five extra moves,false,,4638237991080918605
cellpack05,published,managed_by_android,false,en_US;5x Spoon Pack;5x Spoons with amazing discount!,false,,4636850472844305868
500gold,published,managed_by_android,false,en_US;Stack of Gold;Stack of Gold - 500 gold!,false,,4638193806219219763
linepack074,published,managed_by_android,false,en_US;5x Roller Pin Pack;5x Roller Pins with amazing discount!,false,,4634554124695493487
fridaypack,published,managed_by_android,false,en_US; Weekend Pack; 7000 coins and 7 boosters of each type!; fr_FR; Pack Week-end; 7000 pièces et 7 boosters de chaque type!; ru_RU; Набор на выходные; 7000 монет и 7 бустеров каждого типа!; de_DE; Wochenendpaket; 7000 Münzen und 7 Booster jeder Art!; es_ES; Paquete de fin de semana; ¡7000 monedas y 7 refuerzos de cada tipo!; pt_PT; Pacote de fim de semana; 7000 moedas e 7 boosters de cada tipo!; it_IT; Pacchetto Weekend; 7000 monete e 7 buste di ogni tipo!; nl_NL; Weekendpakket; 7000 munten en 7 boosters van elk type!; ar; حزمة عطلة نهاية الاسبوع; 7000 قطعة نقدية و 7 التعزيز من كل نوع!; ja_JP; 週末パック; 各タイプの7000コインと7ブースター！; ko_KR; 주말 팩; 7000 동전과 각 유형의 7 부스터!; tr_TR; Haftasonu Paketi; Her tipte 7000 jeton ve 7 arttırıcı!; zh_CN; 周末包; 7000种硬币和7种助推器！; pl_PL; Pakiet weekendowy; 7000 monet i 7 boosterów każdego typu!; pt_BR; Pacote de fim de semana; 7000 moedas e 7 boosters de cada tipo!; es_419; Paquete de fin de semana; ¡7000 monedas y 7 refuerzos de cada tipo!,false,,4637705986507746179
